,tocompare,file,eng,fra,spa,chi_sim
79,0,images/9. 00353100200208_3.jpg,"FULL PRESCRIPTION STRENGTH ® NON-DROWSY N0C0135:0576.03  FLONASE)®         ALLERGY RELIEF  Fluticasone Propionate (Glucocorticoid) 50 mcg Per Spray Allergy Symptom Reliever Nasal Spray        24 Hour Relief of: « Itchy, Watery Eyes  « Nasal Congestion  « Runny Nose   Itchy Nose  « Sneezing     ~ 120  o METERED SPRAYS 05410z (158 mL)","FULL PRESCRIPTION STRENGTH ® NON-DROWSY | NDC0135-0576-06  FLÔNASE)""         ALLERGY RELIEF  Fluticasone Propionate (Glucocorticoid) 50 mcg Per Spray Allergy Symptom Reliever Nasal Spray        24 Hour Relief of: « Itchy, Watery Eyes  * Nasal Congestion  « Runny Nose  « Itchy Nose  » Sneezing     , 120  G METERED SPRAYS 0.54 f 0z (15.8 mL)","FULL PRESCRIPTION STRENGTH 6 NON-DROWSY — NDC0155-0576-03  FLOGNASEN         ALLERGY RELIEF:  Fluticasone Propionate (Glucocorticoid) 50 meg Per Spray Allergy Symptom Reliever Nasal Spray        24 Hour Relief of: + Itchy, Watery Eyes  * Nasal Congestion  * Runny Nose  * Itchy Nose  * Sneezing     A 120  Ea METERED SPRAYS 05407 (15.8ml)",FULL PRESCRIPTION STRENGTH 白 NON-DROWSY M0C0165951803  FLOCNASE“         ALLERGY RELIEF  Fluticasone Propionate (Glucocorticoid) 50 mcg Per Spray Allergy Symptom Reliever Nasal Spray  24 Hour Refiefof: .leyMeten Bes .NasalCongeston .furmyNese E “Sneeang           分 120  县 METERED SPRAS 0.54f1oz (158mU
80,0,images/43. heres-the-real-difference-between-all-those-allergy-medications.jpg,"T YT 1/.'1111;,\4.11‘1)/11;‘ tablets",SUN e 1/.‘.‘;/:A>1.J!‘HHIS tablets,T ¡/!J¡/¡¡>4.117)¡¡IC (EO,U 一 e DMI  uuutTTRE7T 园     06 从 A 30uulstomine tabjefs - Indoor 5 utdoDf Allergies |
81,0,images/96. 000896525.jpg,"| : . . Compare to Tylenol® Sinus + Headache 4 active ingredients® §§§§ NDC 37808-466-08 i\  wimmoary - Sl ok e 27,  s s PIT S S PIANCS MBI RIS poA S ES KT SIBII TSI S I PITII LIRS FAS Y 3.     P £ KL CPIISEP LN TS  i T T EOPS TET TCIIE S FA LI TET T  = Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS",| \ . N Compare to Tylenol® f d CEOE LS 4 active ingredients* ÊËÎË NDC 37808-466-08 â‘  ocsouprurens z ÉTUIS LI EE L 34  Drensanz s105004 045 SD LAAIANCS ALEFDULISEEII N SO UAN DEF FPOITIGIII SE LD FPAIIIE OL TILEEAAS FOUS SNF     LAILIEL = IL CDISLCTLNL S SS  R 0 EFTOAMNS LI CIS PSAS T 07 IOTNES S MMN HAOFCROAS  « Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS,| x _ N Compare to Tylenol* ST oe u active ingredients* 555% NDC 37808-466-08 $W  — E _ 2  aaIO D1 JO TPNA DI DI 1D AD III DIESID 1O PDIIIDUJIVLLLS ID Z) .     PO p XA INO NMZ  . a D TI AA AA JO77 - FDDIEIA FELIAA FEN  s Nasal Congestion ACTUAL SIZE  Instant Cooling Sensation  24 CAPLETS,元 z 砂  crzeroarery 一 7 M totZTLIEooi2  x a syz  vmomreem cr < aorrariasy  anvzurv d ir -  口 u 口 口 d 孙  g iici aavmmazaymidrarccr ir y ′″″″。=′  razar 又 L ZzimiydzLmurigr A  0 阮 心 3 - 工 - d 二 rgrcP 55 二 CFXErct AdL L 工 LIFEriar           Compare to Tylenole Sinus + Headache active ingredients*  NDC 37808-466-08  Relieves ′ s Headache Paln  GSinus PreSSUIE Nasal CongestI0n ACTUAL SIZE  Instant Cooling Sensation
82,1,images/45. sinus-allergy-0.8oz_2000x.jpg,"NN = ""\ wiro”\\exs”  ALLERGY  S             May Help Relieve* o Sinus Pressure, Congestion e Sneezing & Runny Nose  o Dry Nasal Passages       Leading Allergy Brand       All Region Formula  ,Iu 0.8 F1 0z (24 ml)  A } 0 Y bioAllers®","@Nx =< “\ LGisoMers”  ALLERGY  E             May Help Relieve* « Sinus Pressure, Congestion « Sneezing & Runny Nose  « Dry Nasal Passages       Leading Allergy Brand       Al Region Formula  y… 0.8 F1 0Z (24 ml)  Â | e Ÿ bioAllers®","ó N-< E “_K vi1oRNers”  ALLERGY  EE             May Help Relieve* * Sinus Pressure, Congestion * Sneezing 8: Runny Nose  * Dry Nasal Passages       Leading IS ia       All Region Formula  ¡… 0.8 FI 0z (24 ml)  A ! o * bioAllers”","东 < 心 y `_` sNas NNE>x 一 “  ALLERGY  330  Homeopathic )  May Help Relieve* “Sinus Pressure, Congestion s Sneezing & Runny NOSe 。 Dry Nasal PaSSages       1 Allergy Brand       All Region FormuLQ  唰 E 220  咤 k: N bmA‖ers@"
83,0,images/allernest-homeopathic-liquid-small-50-ml-by-marco-pharma.w710.h473.2x.jpg,NDC 60986-1003-3  ALLERNEST  Homeopathic Combination Medicine ¥  Indications: For relief of minor symptoms due to allerge reactions.  >>NESTMANN <<  169 FI Oz (50 ml),NDC 60986-1003-3  ALLERNEST  Homeopathic Combination Medicine à  _Indications: For reliet of Minor symptoms due to allerge » reactions.  >> NESTMANN <<  169 FI Oz (50 mL),NDC 60986-1003-3  ALLERNEST  Homeopathic Combination Medicine 3  _Indications: For relief of Minor symptoms due to allerge -+ reactions.  >> NESTMANN <<  169 FI Oz (50 mL),"NDC 60986-1003-3  ALLERNEST  Homeopathic Combination Medicine 〕  ,Indications: For reliefo norsymptoms due to alegC 1 reactions.  >> NESTMANN <<  169 FI Oz (50 mu"
84,0,images/44. 61yweedxnvl._sl1000_.jpg,"AIIe rhist  Clemastine Fumarate Tablets, USP 1.34 mg Antihistamine  12 Hour Relief of:  Runny nose  Sneezing COMPARE TO Itchy, watery eyes TAVIST®  ltchy throat ALLERGY active ingredient*  SRy =IN=S k| )","Alle rhist  Clemastine Fumarate Tablets, USP 1.34 mg Antihistamine  v lo 01 S( MoI p  LS Te1e N Aale e e  Sneezing COMPARE TO Itchy, watery eyes RVN AN ES  Itchy throat ALLERGY active ingredient*  T6TABLETS @","Alle rhist  Clemastine Fumarate Tablets, USP 1.34 mg Antihistamine  12 Hour Relief of:  TT A  Sneezing COMPARE TO Itchy, watery eyes TAVIST?  Itchy throat 4 active ingredient*  [ooy - N-y —","12 Hour  Allerhist  Clemastine Fumarate Tablets, USP 1.34 mg Antihistamine  12 Hour Relief of:  Runny nose  Sneezing COMPARE TO ltchy, watery eyes E  Eteuy 怀 Udel ALLERGY active ingredient*  1C TABLETS @ 怀"
85,0,images/12. 71djceefkxl.jpg,F P a=—w>»i o =—m T ac>e—~r VAT I F o mar == =,P— <= 2Ss e É A V— E Es sn,F2 a- < 2>5 3 — a2 ha u ' E a= — —,郡 一 怀 一 一 一 = 学 厂 血 一 一 - 诱 - 一 心 一 见 J A 厚 厚 血 心 一 一 一 一 一 一
86,0,images/13. 71suh%2bcxiel._sl1066_.jpg,"(Y- ;f:r:‘ﬂm 7 tabletsAUSPAIOImg Antihistamine;  24 hour reliof of sneezing, runny nose, fichy, wotery eyes, itchy threat or nose  Indoor and Outdoor Allergies     NON-DROWSY""  Rownn e pnsasmssis. 30 TABLETS","lora ifîÜ33æ V tablets(ÜSPHIO)MG Antihistamine,  ? À hour reliof of snocozing, runny nose, iichy, watery eyes, itchy Hhront or nose  Indoor and Outdoor Allergies     NON-DROWSY”  M GLUTEN FReE) … é hamaresm | 30 TABLETS","lora ¡f:djm V tablets AUSPAOIMY PNE-  2A hour reliof of sneozing, runny nose, ichy, wotery eyes, itchy throot or nose  Indoor and Outdoor Allergies     o] E .le) E e  N GLUTEN FREE) - atemcrememorems — 30 TABLETS","[ R Uomg       2 iour raliof [fSnoezingy, unny flO36, cBiy, wotery 8Y651 ifchy throah of no36  Indoor and Ouldoor Allergies  NON-DRCOWSY“  znses , 90 TABLET5"
87,0,images/liuweib.jpg,"ActlveFerb  Be active     HERBAL FORMULA EXTRACT <  Liu Wei Di Huang Tang e &b  for professional use AH301E  5:1 Concentrate Granule Net Wt. 100 g (3.53 Oz),",ActiveHerb”  Be active     HERBAL FORMULA EXTRACT &  Liu Wei Di Huang Tang # 4% #3  for professional use AH301E  5:1 Concentrate Granule Net Wt. 100 g (3.53 Oz),"Actíveherb""  Be active     7 eN U7  Liu Wei Di Huang Tang RRUEL  for professional use AH301E  5:1 Concentrate Granule Net Wt. 100 g (3.53 Oz)","ActfreHerb“  Be active     HERBAL FORMULA EXTRACT 气  Liu Wei Di Huang Tang 八 味 地 黄 满  for professional use AH301E     5:1 Concentrate Granule 厂_\"" ' 气 NetWt. 100 g (3.53 Oz)"
88,0,images/72. 900.jpg,oINPT AN e Lt (el LTS PRESCRIPTION STRENGTH  Compare to Allegra®Allergy active ingredient**  X OETRTE],NON-DROWSY «ORIGINAL PRESCRIPTION STRENGTH  (P E LR OMN EN E active ingredient#  C E,NNE NE TS PRESCRIPTION STRENGTH  PEO U EA active ingredient**  Actual Size,NON-DROWSY 。QRIGINAL PRESCRIPTION STRENGTH       Compare to Allegrae Allergy active ingredientt  E
89,0,images/11. diphenhydramine-hcl-25-mg-pink-white-capsule-to-be-1.jpg,"| ™ i  - 8J91sn Jojow e Buiaup Jo Aaujyoew Butesado uaym njases aq m SSOUISMOJD 352aIou! feuw $1az)|INbLEs} PUE 'SAAIIED3S '{0UOI[E M SYULID D1[OODJE PIOAE M 90 At SSAUISMOJP PayJew M UAIPJI Ul A)ie19adsa In2o0 Aew A)ijiqeioxa m janpoad siy) Buisn uaym 'S1a71[InbUB} J0 SaAjepas BUDYE] aie noA Ji asn ai0jaq jsiaewseyd Jo J0ja0p € ysy pue|d aieiso.d pabiejus e o) anp Bureunn 8jgnoy M ewooneb m SIYUOUOJG 90 10 BwesAydua Se yons wajqoid uiljeaig e M aney NoA 1 asn a10jag 0j90p & sy UIYS UO Pasn au0 Uana ‘aulwespAyuaydip Guiureluod 1onpoid Jayo AUE yjim asn jou oq sBujuiey  ‘Saka Asajem Aoy @ Je0JU) J0 8SOU AU JO Buiyo) @ Buizasus  ‘saiBsal|e Aojesidsal saddn Jaujo 10 Jaka) Aey 0) anp SwojdwAS asay) Sanaljal | 850U Auun) |09 UOWILIO 8U} J0 SWIOjdWAS 353U} S Ajuesodwa)                                          asou fuuny Buizaaus     KEEP OUTER CARTON FOR COMPLETE  WARNINGS AND PRODUCT INFORMATION        UILEISIYUY bui 6z |9H sulwelpAyuaydiq © g asodind (ainsdea yaea uy) Juaipailiul anay <5 4 8 spoed Gnig £     *Compare to the  Active Ingredient in  Benadryl® Allergy  © Kapgels® COMPLETE  ALLERGY MEDICINE  Antihistamine/Diphenhydramine HCl 25 mg                                  Relieves: Sneezing; Itchy, Watery Eyes; Runny Nose & 100 Capsules Itchy Throat due to Allergies & Colds 25 mg each ALLERGY RELIEF  = DISTRIBUTED BY: #Compare to the  CHAIN DRUG CONSORTIUM, LLC. Active Ingredient in 5B | moowwcowoue o, sime s Benadre Alergy 3 € | Questionsor comments? ° Kapgels®  g3 -877-753- E E ‘ Gall toll free 1-877-753-3935 COMPLETE 3 re isfied wi 3 % Grmmmonion ALLERGY g hee purchased fo a fullefund.  2 | 3 | IMEDICINE i 28 ! Antihistamine/Diphenhydramine HCI 25 mg g Relieves: =r Sneexing; ltchy, Watery Eyes; Runny Nose & 2 E | 100 Capsules Itchy Throat due to Allergies & Colds S ' 25 mg each ALLERGY RELIEF     OIS PUE 8S0j9e) ‘UITEIaD ‘Op# Py 0804 'L# 8Ng 0’804 ‘824 Doy 08U Spualpallil aAlaeu|  ‘@sfabidey ABia||y  ©|Ipeuag yiewapes) pasa|s|Bal ) 10 JAUMO “3U] *Ddd-[IANOYN 10 UOISIAIQ ‘8JeaueaH JalLnsuog /aNOW Aq pRINGUISIP Jo paINoenUEW J0U S| 10nD0Jd Siy] M BUISSILL J0 UBY01] S) 3[NSUeD PUNOJE puEq pal J1 asn jou op M Duissiw o Uay0iq sI ded Japun [eas Aajes pajuLdwi Ji asn jou op m 1B woyy  1231040 W 308[d AP & Ul (4:98-65) 008-G 1 AINfesadiLa) Wwoo. e 2i0is W UONeLLIoJUI J3UI0 asn jou op 36e J0 S1eak Japun uaipIyd     010D € Y1500 e 10 129K J9pUN UOIDIILD a|nsdeo | ae) ‘abe J0 SIeak 2| Japun 0} Q UBIP]ILY Sa[nsde 7 10 | ave) JanO PUe aDE J0 SIBak 2| UAIPIyo PUE S)Inpe SIN0Y U] S360p § UBL) 100U ‘Sinoy § 0} p Kiana aye) - SUOIIBIIE  “Reme D1 Ja]UaY) [04U09) UOSIOd & 198103 0 dja] [ed|pall 1aD ‘asopIah0 Jo ased Uj “ua4p|1ya JO yaea1 Jo Ino daay ‘3sn alojeq [u0issal0id jieay e yse ‘Guipaa)-seaiq Jo jueubiaid jj  (panunuoo) spae Bniq","p"" RR TI  “ afoiLoA J0yOu P buiaup 10 Alou1yoew Gunèsedo vaum jnjased aq m SSAUISMOJP 8SEaLOUI Aeu S1aZ||1nbue;} puE ‘SeaiJepas ‘JOUO9/E M SYULIP O!/OYOOIE PION M 1000 ÆE SSAUISMOIP PayJe M UBIp|i4O UI Aje1dadsa ‘1n990 Kew Ayjiqeyoxe m Jonposd suu Gusn vaym sieziinbue1] 10 senepes Duiye; 81e nok j1 asn 810;q 1s:9ewueud 10 10100p E ysy puelb aje1s01d pablejua ue oy anp Buijeulsn ajono, m= ewoone;d m SI\JOUO1Q o1UO19 10 eWeSAyduue SE Yjons wa|qoid u1iyeaig e m aney noÂ }1 asn 810j89 10j90p @ YSy UIS UO pasn au0 usaa ‘auIwWespAYUaUdIp Guivie UOs JonpoId sauo Aue um asn jou 0G shuiusem  soka Alojem ‘Ayoy m | 1e014) 10 asou ou) jo buiyoy m Buizoaus  :selbsaye Aoyesidsas addn 4910 10 JaAG; ë4 0} anp SWIO]CLUAS aSaU) SEAAI AI A esou AUUn! PJ09 UOLULWIOS U} JO SWO]AWIAS BSAUI SO/ Ajue1oduey                                          asou AuunI Bujzoeus     KEEP OUTER CARTON FOR COMPLETE  WARNINGS AND PRODUCT INFORMATION        GUILURISIYQUY b GZ 19H oujwie:pAYueUdIg sS asodind (a,nsdes ysea u1) juaipasbus annoy sË à ä S1oe4 Gn1g 25 5     *Compare to the  Active Ingredient in  Benadryl® Allergy  ® Kapgels® COMPLETE  ALLERGY MEDICINE  Antihistamine/Diphenhydramine HCI 25 mg                                  Relieves: Sneezing; ltchy, Watery Eyes; Runny Nose & 100 Capsules ftchy Throat due to Allergies & Colds 25 mg each ALLERGY RELIEF  = DISTRIBUTED BY: *Compare to the  CHAIN DRUG CONSORTIUM, LLC. Active Ingredient in ZË | 200 1aVcoreonre , ûr 5 Benadrfl Alrgy ë S | Questions or comments? , Kapgels®  Z : -877-753- Ë E | Call toll free 1-877-753-3935 COMPLETE 3 ré isfied wit Z % bevenmemste ALLERGY 2 ‘nbee parchäse for fl refund  = ! 83 | MEDICINE ä @ ! Antihistamine/Diphenhydramine HCI 25 mg $ Relieves: ër Sneezingz ltchy, Watery Eyes; Runny Nose & 3 E | 100 Cap:ule; ltchy Throat due to Allergies & Colds = | 25 mg each ALLERGY RELIEF     Yosejs pue soj0e] ‘UIIe|aD ‘Ob# Poy 4 ‘Lé SM/G I'RC4‘SC# VOH 980 SJUSIPEIOUI SANIEUS  ‘assôdey AbsoI1y  @©)Kipeuag y:ewape1) pasajs|Ga1 uy jo 18UMO ““au] “Idd-I/9NOIN JO VOISIAIQ ‘as2OUIIEEH JEWNSUO9 Yi@NON) ÀQ paynaip 10 painjpe;nueu Jou s} jonpo1d siu], M BUISSILU 10 UB4O1Q S! ajNSdD puNOI2 pUEG pai j| asn jou op m BuiSs|u 10 U8401Q SI de9 Japun jeas Ajajes pajulsduu! | asn jou op m 1u6i| Wo4y  Joejoid m aoe|d Aip e UI (1.98-065) Jc0£-09L @InJeJadue) WOO) Je 8101s M WOIREULIONU 48YIO @sn jou op abe j0 SIeaÂ p Japun vasp;1UO     Jopop e yynsuos abe 10 sseaK 9 Japun vaipiiuo ajnsdes | oyey abe j0 SieoÂ ZL Japun 0; 9 UaJpIIUO sejnsdes Z 10 | ayey 1640 pue abe jo sieak 1 UaIp|iyo pue synpe SINOY ÿ7 } S3SOp G LEL} 810 JOU SINOY 9 0} ÿ Aion2 3Ye} M SUONIBI  “Aème u011 Ja)U89 JOI}UO7 LOSIOQ E 10E]UOI 10 djay j2o|pauu 18D ‘asopJano JO ase9 UI “UB4p|1y9 j0 yaeas j0 yn0 daay ‘asn a10;9Q JeuOISSaJ01d ujjpay e se ‘Du)paaj-jsea1q 10 jueuba:d Jj  (panunuos) 57984 GMIG","| EE NIIN A  . 8/01U8A JojOLU e BuIALP JO Álaulyaew Bunelado uaym ¡njaseo aq a SSauIsMOJp aseaJOUI ÁRU sIan|nbuey) pue 'saanepas “¡Ou09je M — syULIp 9lOO9je pIOAE M 10920 ÁBLI SSaUISMOJP payuewW M — LSJPII9 Ul ÁlrerDadsa IN0 Águs ÁNjIgeNoxa m - janpo1d siy) Guisn uaym 'SJeZ1)InDUEJ) JO SANEpas Dupye; e1e NOÁ yl asn 208q jSIJELIEUd 10 J0)J0p E ySY puejó ajersoud pañiejua ue 0) anp Buneunn ajanos) m - ewoonejó m saluauo.q ooo 10 euesfudua se yons ulajgozd Guyearq e m —aney noÁ y! asn a10jaq 10190p e ySY 'UlyS UO pasn auo uena “aulwuespAyueydip Bururejuoo ¡anposd ayjo Áe ylim asn y0U o SBUILIEM  saña Álajem 'Áyoj! an - ¡20JU) JO asou ay) JO BuiLyo)r an - Bulzaaus  ssalB.aje Aoyeuidsas Jaddn ¿aujo JO Janay Aey 0) anp suojduÁS eseyy sanaljas Ál s0u Auuny p|09 UOLULUIOO au JO SUOJALUÁS asauj Say Auesodura)                                          asou Áuuns Burzasus     KEEP OUTER CARTON FOR COMPLETE  WARNINGS AND PRODUCT INFORMATION        auluejsIynuy Bul g7 |9H eulwespAyueydidg s asoding (ansdeo yoea ul) ¡uarpalGu] an9y 5 a siey g 2E     *Compare to the  Active Ingredient in  Benadrylo Allergy  , Kapgelso COMPLETE  ALLERGY MEDICINE  Antihistamine/Diphenhydramine HCI 25 mg                                  Relieves: Sneezing: lthy, Watery Eyes; Runny Nose € 100 Capsules ftchy Throat due to Allergies é Colds 25 mg each ALLERGY RELIEF  = DISTRIBUTED BY: *Compare to the  CHAIN DRUG CONSORTIUM, LLC. Active Ingredient in E6 [ p00u oreourrano, sinens Benadryo Alergy 5 S| Questions orcomments - Kapgelso  m -877-753: % E 1 Call toll free 1-877-753-3935 COMPLETE 3 re tsfied wi B % Dr ALLERGY S imbere purhased fr afl refund..  = ' S MEDICINE 5 s Antihistamine/Diphenhydramine HCI 25 mg S= Relieves: En Sneezing: ltchy, Watery Eyes; Runny Nose d = E | 100 Cap¡ule¡ Itchy Throat due to Allergies é Colds = 125 mg each ALLERGY RELIEF     Uoyejs pue esojopy “unejaD “0bé poy 0903 *1é enl 9903 '974 PY 990 sIMaIpalfuI aniIEUY  OsjaBdey ABJeNy  EjApeuag yIewapey) peajsidas auy jo Jaumo “9u) *Ddd-II8NoW JO uOISINa “eeqUIRaH JALINSUD] lENoWy Áq paynausip Jo pamnioenuew Jou si yonpold siuL, - GurssIL JO usy01q $1 ansdeo punoje pueq al yr asn jO op. m Áuissiw JO UeyoJq si deo Japun ¡eas Ñajes payuldu! j asn jO op.am - jUBI wOy  Joajosd m eoejd ÁIp e ul (1.98--65) 9-0€--51 almiesaduay wu00 ye aI m YO NELLOJUI 1340 asnjou op aBe jO sIgaÁ p Japun uapilyo     JOP0p e yInSU09 aBe jO sIPaA g Japun uayO ajnsdeo | eyey De yo sieÁ 7| Japun 0) 9 uaJpyIyo sajnsdeo 7 10 | aye Jaño pue aBe jo sieaf z| uaIpIyo pue siynpe SInoy yz ul sasop g ury ayow y0u 'SINoy 9 0) y Ae aye m - SUONIB/  ""Neme 1D11 Jajue) ¡ojuog) Uostog e 19ejU00 0 djay ¡eo|paL 190 “asopieño JO aseo U “ugap¡y9 yo yoeas jO ¡NO daay “asn aJojaq ¡euorssajo1d uNPay e yse “Gulpaay-1seasq 1o ¡ueubaud y|  (panunuoo) s7324 Gg","mooomuammmumuan  SSuiop epanul 2uStx|uB] PUE SIHpps d0oE 一 9UUP 04028 1 里 0000 8 SSaHISMaIP paNRU 里 aIpMHP ULAJ8padsa nooo/8u 4BI8 一 004 SIH ulSn a Eomooomemmommmmumammmmmmy yrmproommmaauan 9090 UVS 0 aS03u0uts uluapRuaMdp ubphoo pnpold.aglo u ssniou 0  S5u1eMf  Bupaaus                yoomoymuum s apldsal ddnJ&go.0 6 1 0160pSUntuUE SSJ1 3 660u b 一 邝 6200UU0034)0SUoldu/S3S901 5 podus       ssou uun bupaus          KEEP 0UTER CARTON F0R COMPLETE  WARNINGS AND PRODUCTINFORMATON        90ILBEHIY 24 50H34UBpQLali0 言 8500Und (eJnsdeo Voeg 仁 ) 031p316uy 84J2V < 一 3 智 Sjogy 50 品 益 当 咏             *Compars tothe hete Ingedient in  Beradnrie hlergy Mapgele               COMPLETE  兮 LLE 尽 GY ED1/CINE  AnthistaminelDibhenhydramine HCI 25 mg Relieves Sneeang y Woter Ees umy Noe< hehy Tiootduete leierk Colt  ALLERGY RELIEF           100 Capsules 25 mg each                                                            三 DBNBUID Y SCompars to the  才 | 数 沥 n E  言 00A I F3 一 翩鑫""暹dry_宫 ^‖.严Y  番 叶 | uextonoromment opgeli 口 , M  言塞 | (alltollffee -877785385 CompPLETE  1 网 sszrs- ALLE 史 GY  招 刹  晋 史 , d ″  骗 1 ED1JCJ1NE  豆 8 1 AnbhistaminelDiphenhydramine HCI 5 mg  玲 芒 Relievex  宇 史 Sneeang iy Watr Ejes unmy Noe<  E | 100 Capsules hdyy Tiotduets Alerierk Colt  志 | 25 mg each ALLERGY REUEF       HPRE F950p6| MB 0 V34 903 传 508 904 82# a 980 SJU8jp8/buy 8AJ28 山  8Sp5dy I0ay  peuag yPuapal pala[al J1J0Jauto a 0dd-BNoUI0U08Wi0 IBSH unsl00 I 史 papqUjSp0 Pampanugu ouS1ppadsHL, 曰 8UESL0UGH00 13sdgpUngpud 8 川 8Snj4 印 一 09SSU 08HS 0 Pn BBS 朋 R LGUNII3S0.0008 曰 0 al paioMd 园 328 p8Ul 488-.69 0。08sSL pedul a 目 L011BUAO/ 人 18 办 0  50 0  06055000 d L 阜 IS85 76 13 伊  Ipmppmmmim E00ERppmmmmm  3805 P 5 PHH Eorpezpmmmmmemy     Sndl 让 山 qp9U8anu p nl90l has3f8 王 SU0N0940  1 UJ8ba0 XL00 U0804 59900008J Ip3QL D 3S0p8I0J03S2 e 10 Hoeg1j0 0 de8y 3S0310 H0ESSI0 P uip88He10 0 84  (panuluozJ 10gy 6"
90,0,images/92. 00011822331524_1.jpg,-,mmmn,MUTITINDTI,
91,0,images/40. image.jpg,",(@\7@ ADULT       -               MAXIMUM STRENGTH  7Cough+Chest (T,  U AT (Cough Suppressant) U (Expectorant)  Relieves: v/ Mucus,     """""""" f Free  Blood Pressure Test  t LA  G Ty J!)I,l/l,\id/lli/k v tablets","…ËM ADULT       W               MAXIMUM STRENGTH  VCough+Chest CO e TS  DESCOUAE ON LR {Cough Suppressant) UIN (Expectorant)  Relieves: v Mucus     """""" / Free  Blood Pressure Test  ff3  SUN *Ta) ]H.'rl/l,\i…//l!l/7( r e (IE,",…E¡M ADULT       1777               MAXIMUM SNe  VCough+Chest Congestion E  aE aT (O e GUAIFENESIN (Expectorant)  Relieves: Y Mucus     ***** — — Free  Blood Pressure Test  a NA  T ]/).'¡I/l)¿.¡/l!¡'/7: T TA,"′′Cbugh+chest Congest搔n [  wT 沥 l Suppressan L ag  Relievess v h  B/00d P厂eSS仪厂e 7_eSr 4sf OurHeah G UIde         〔`】d/入了慵〔」 [  /′)【r///〕薯`///′//7〔 ′`】/〕/L」/玉 述 ] Indoor 0utdoor Allergias a , 月 ′ b"
92,0,images/9316360117205_co_stomach_ache_pain_relief_20_tabs_-_836007.jpg,e A i = )  STormach Achie Bc Faan Reet ~ =S AR e =  LT  KEEP OUT OF REACH OF CHILDREN        Stomach Ache & Pain Relief  Relief of acute stomach ache and' pain due to cramps and spasms  ittt St S S S  v e =P e s  20 tablets Each tablet contains Hyoscine Butylbromide 10 mg PV FeP2E),L SS e S BI  — à Q e E EE SS a S eN p E E b S  Q EU  KEEP OUT OF REACH OF CHILDREN        Stomach Ache & Pain Relief  Relief of acute stomach ache and pain due to cramps and spasms  p PS SRE SS  P p A  20 ps 1e) =1 RE ce Hyoscine Butylbromide 10 mg VUI RE EU),o ——L]——— — DS  Suomacoan AQae a P aa Relhet “ A =  PHARMACY MEDICINE  O e TNO Tn        Stomach Ache 8 Pain Relief  Relief of acute stomach ache andipain due to cramps and spasms  i DT  aa d O  20 tablets — Each tablet contains Hyoscine Butylbromide 10 mg AUSTR 232432,Eaceauuzouneron  E  Fsz 2  s h  EE s 途 河 c y 语 s E 二 招 s  Chemists「Own「  Stomach Ache & Pain Relief  Relief of acute stomach ache andlpain due to cramps and spasmis  2o tab_ets Each tablet contains Hyoscine Butylbromide 10 mg     AUSTR232432
93,0,images/29. b554eefb-31af-5891-8ef3-5a9a2cc16923.jpg,"Indoor & Outdoor Allergies         Indoor & Outdoor Allergies     (¢, /17711371130     Indoor & Outdoor Allergies       CHEWABLE TABLETS         Indoor & Outdoor Allergies     (¢, /1711371130",Indoor & Outdoor Allergies         Indoor & Outdoor Allergies     Le 1E BNETIKS     Indoor & Outdoor Allergies       (O UALL BL ETE         Indoor & Outdoor Allergies     Le I A BNETIKS,Indoor 8 Outdoor Allergies         Indoor 8 Outdoor Allergies     (9/70/7718/7720     Indoor 8 Outdoor Allergies       CHEWABLE TABLETS         Indoor 8 Outdoor Allergies     CHEWABLE TABLETS,Indoor & Outdoor Allergies         Indoor & Outdoor Allergies     EE 沥 E     Indoor & Outdoor Allergies       E         Indoor & Outdoor Allergies     EE 沥 E
94,0,images/78. 310-cetirizine-hcl-10mg-tablet.jpg,————  | tCompare fo Zyrtec® active ingredient,—  | t Compare to Zyrtec® active ingredient,—  | +Compare to ZyrtecO) active ingredient,二 一 s  1 |Compare to Zyriec@ aciive ingredient
95,0,images/22. 10-allergy-remedies-allergra-or-claratin.jpg,"RELIEF OF:  iy N ¥ Itchy, Watery Ey  L",RELIEF OF:  DN PEN  v ltchyNo,"RELIEF OF:  A Y Itchy, Watery Ey  CD",a 0  5 E  D
96,0,images/70. 900.jpg,[ S S L  QLR  Wal-Zyr- 24 Hour Allergy  Cetirizine Hydrochloride Tabléts 10 mg Antihistamine  s s INDOOR'& HOUR 300 OUTDOOR oy Actual Size ALLERGIES' ;1A  TABLETS  T Compare to Zyrtec® active ingredient™,"PIN R A S SU d c  ME  Wal-Zyr"" 24 Hour Allergy  Cetirizine Hydrochloride Tablêts 10 mg PE TS  e 1 PE Telele14 S PEn sA 300 felVEieleJel5) sYMPTOM V ETEN P NaN = e SS RELIEF  L \-18 310  PE Compare to Zyrtec® active ingredient**",WALGREENS PHARMACISTRECOMMENDED*  Da  CA e A PNEN  [N eN MEl CEe avaba E rT Tt  ÉÉ N [ lel 300 OUTDOOR STay yTE TT E RELIEF  yN  E Compare to Zyrtec* active ingredient*,E  3  E 24 Hour Allergy  Cetirizirie Hydigchloide Tablets 40 mig Antihistamine  7 刑 c 刹 E R 3oo E 仪 570 途 E TABLETS 5 a 0 zy‖霞c。  active ingredientt
